buh_empresa	buh_archivo	buh_fecha	buh_bodega	buh_codigo	buh_codigo_funcional	buh_codigo_vinculado	buh_codigo_generico	buh_estatus	buh_clasificacion	buh_responsable	buh_ctv	buh_pv	buh_precio_promocion	buh_promocion_desde	buh_promocion_hasta	buh_proveedor	buh_perfil	buh_horizonte	buh_tiempo_suministro	buh_frecuencia_reposicion	buh_gdb	buh_cam	buh_etapa	buh_nuevo_buffer_sugerido	buh_comportamiento	buh_consumo	buh_buffer_calculado	buh_cobertura_buffer	buh_cobertura_inventario_proyectado	buh_cobertura_pedido_minimo	buh_dias_desabastecimiento	buh_ventas_perdidas	buh_observaciones	buh_nuevo_buffer_real	buh_posponer_alerta_buf	buh_posponer_alerta_red	buh_posponer_alerta_gdb	buh_buffer_minimo	buh_buffer_maximo	buh_pedido_minimo	buh_redondeo_pedido_minimo	buh_pedido_minimo_grupo	buh_unidad_empaque	buh_redondeo_unidad_empaque	buh_porcentaje_atencion	buh_impacto_faltante	buh_buffer_actual	buh_zona_amarilla	buh_zona_roja	buh_color_inventario_fisico	buh_color_inventario_proyectado 	buh_ultimo_buffer	buh_buffer_anterior_estacion	buh_buffer_estacional	buh_inventario_proveedor	buh_inventario_fisico	buh_estado_inventario_fisico	buh_transito	buh_negociacion	buh_produccion	buh_embarcado	buh_comprometido	buh_backorder	buh_inventario_proyectado	buh_estado_inventario_proyectado	buh_ingresos	buh_egresos	buh_pedido_calculado_auxiliar	buh_pedido_calculado	buh_pedido_promedio	buh_pedido_real	buh_calendario_estacional	buh_accion_estacional	buh_etapa_estacional	buh_tdd	buh_idd	buh_roi_pasado	buh_roi_proyectado	buh_velocity	buh_nivel_servicio	buh_ultimo_cambio	buh_nuevo_inicio_horizonte	buh_inicio_horizonte	buh_fin_horizonte	buh_ultima_transferencia_ini	buh_ultima_transferencia_fin	buh_variabilidad	buh_rojo_acumulado	buh_negro	buh_rojo	buh_amarillo	buh_verde	buh_lila	emp_nombre	bod_nombre	ach_nombre	pro_nombre	pre_nombre	pro_descripcion	pro_grupo	pro_linea	pro_sublinea	pro_modelo	pro_familia	pro_subfamilia 	pro_categoria	pro_tipo	pro_marca	pro_cat_management	buh_estado_reposiciones	buh_fecha_nuevo_pedido	buh_fecha_esperada_arribo
1	11	2017-06-01	150309000000214	10000000904	\N	OT-584	0	0	0	0	1.55	3.46	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	10.00	\N	\N	105.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	BUJIA 6A	REPUESTOS 2T	AGROFORESTAL					REPUESTOS		LOCAL		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000971	\N	EC-22CINTL	0	0	0	0	182.82	338.78	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	1.00	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	PODADORA HOME 22C	DESMALEZADORAS 2T	AGROFORESTAL					DESMALEZADORAS		SHINDAIWA		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000972	\N	EC-B450R	0	0	0	0	305.41	802.88	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	2.00	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	2.00	\N	\N	116.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	DESMALEZADORA B450R (B450EMC)	DESMALEZADORAS 2T	AGROFORESTAL					DESMALEZADORAS		SHINDAIWA		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000973	\N	EC-B530INTL	0	0	0	0	331.78	864.54	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	1.00	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	2.00	\N	\N	48.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	DESMALEZADORA B530	DESMALEZADORAS 2T	AGROFORESTAL					DESMALEZADORAS		SHINDAIWA		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000974	\N	EC-B450	0	0	0	0	298.78	762.73	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	2.00	\N	\N	104.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	DESMALEZADORA B450 AUS	DESMALEZADORAS 2T	AGROFORESTAL					DESMALEZADORAS		SHINDAIWA		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000975	\N	EC-BP35INTL	0	0	0	0	356.20	640.62	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	1.00	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	DESMALEZADORA BP35	DESMALEZADORA BATERIA	AGROFORESTAL					DESMALEZADORAS		SHINDAIWA		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000976	\N	EC-C230INTL	0	0	0	0	200.92	451.24	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	28.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	DESMALEZADORA C230	DESMALEZADORAS 2T	AGROFORESTAL					DESMALEZADORAS		SHINDAIWA		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000977	\N	EC-C270EMC	0	0	0	0	236.10	509.51	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	1.00	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	2.00	\N	\N	62.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	DESMALEZADORA C270	DESMALEZADORAS 2T	AGROFORESTAL					DESMALEZADORAS		SHINDAIWA		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000978	\N	EC-SRM-270/ULA	0	0	0	0	222.36	465.56	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	DESMALEZADORA SRM 270	DESMALEZADORAS 2T	AGROFORESTAL					DESMALEZADORAS		ECHO		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000979	\N	EC-SRM-3605/ULA	0	0	0	0	242.00	592.44	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	6.00	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	DESMALEZADORA SRM 3605	DESMALEZADORAS 2T	AGROFORESTAL					DESMALEZADORAS		ECHO		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000980	\N	EC-SRM-4300R	0	0	0	0	235.10	709.49	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	2.00	\N	\N	25.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	DESMALEZADORA SRM 4300R	DESMALEZADORAS 2T	AGROFORESTAL					DESMALEZADORAS		ECHO		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000981	\N	EC-SRM-4605/ULA	0	0	0	0	267.24	699.44	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	1.00	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	DESMALEZADORA SRM 4605	DESMALEZADORAS 2T	AGROFORESTAL					DESMALEZADORAS		ECHO		\N	\N	\N
1	11	2017-06-01	150309000000214	10000001010	\N	JF-01.056220MM	0	0	0	0	1069.69	3199.00	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	1.00	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	ENSILADORA JF 50 MAXXIUM	ENSILADORAS	AGROPECUARIA					ENSILADORAS Y PICADORAS DE PASTO		JF		\N	\N	\N
1	11	2017-06-01	150309000000214	10000001145	\N	EC-M230/EMC	0	0	0	0	188.98	382.89	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	1.00	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	1000000000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	MAQUINA MULTI USOS M230	MAQUINA MULTIUSOS	AGROFORESTAL					MAQUINA MULTIUSOS		SHINDAIWA		\N	\N	\N
